assay,cell_line,batch,screen,replicate,titre,agent_volume_ul,cell_number_seeded,cell_number_analysed,p23_percentage,p23_percentage_adjusted,condition,mean_p23,sd_p23,z_score_p23
HIV1_NL4.3_virus,VOCE_2,batch_01,screen_01,rep_01,titre1,0.0033,5100,5310,1.15,1.15,U,13.57647778,20.83150983,-0.596523146
HIV1_NL4.3_virus,VOCE_2,batch_01,screen_01,rep_01,titre2,0.0017,5100,3956,5.97,5.97,U,13.57647778,20.83150983,-0.365142894
HIV1_NL4.3_virus,VOCE_2,batch_01,screen_01,rep_01,titre3,8.00E-04,5100,3661,10.93,10.93,U,13.57647778,20.83150983,-0.127042053
HIV1_NL4.3_virus,VOCE_2,batch_01,screen_01,rep_01,titre4,4.00E-04,5100,3350,27.82,27.82,U,13.57647778,20.83150983,0.683748914
HIV1_NL4.3_virus,VOCE_2,batch_01,screen_01,rep_01,titre5,2.00E-04,5100,3931,14.68,14.68,U,13.57647778,20.83150983,0.052973703
HIV1_NL4.3_virus,EOJR_3,batch_01,screen_01,rep_01,titre1,0.0033,5100,2453,27.19,26.97,U,13.57647778,20.83150983,0.642945342
HIV1_NL4.3_virus,EOJR_3,batch_01,screen_01,rep_01,titre2,0.0017,5100,2867,58.14,57.92,U,13.57647778,20.83150983,2.128675386
HIV1_NL4.3_virus,EOJR_3,batch_01,screen_01,rep_01,titre3,8.00E-04,5100,4119,52.32,52.1,U,13.57647778,20.83150983,1.849290932
HIV1_NL4.3_virus,EOJR_3,batch_01,screen_01,rep_01,titre4,4.00E-04,5100,4718,53.03,52.81,U,13.57647778,20.83150983,1.883373915
HIV1_NL4.3_virus,EOJR_3,batch_01,screen_01,rep_01,titre5,2.00E-04,5100,7860,28.28,28.06,U,13.57647778,20.83150983,0.695269922
HIV1_NL4.3_virus,KUUL_1,batch_01,screen_01,rep_01,titre1,0.0033,5100,2931,75.88,75.88,U,13.57647778,20.83150983,2.990830848
HIV1_NL4.3_virus,KUUL_1,batch_01,screen_01,rep_01,titre2,0.0017,5100,5332,70.29,70.29,U,13.57647778,20.83150983,2.722487361
HIV1_NL4.3_virus,KUUL_1,batch_01,screen_01,rep_01,titre3,8.00E-04,5100,6120,59.43,59.43,U,13.57647778,20.83150983,2.20116173
HIV1_NL4.3_virus,KUUL_1,batch_01,screen_01,rep_01,titre4,4.00E-04,5100,8801,44.12,44.12,U,13.57647778,20.83150983,1.466217402
HIV1_NL4.3_virus,KUUL_1,batch_01,screen_01,rep_01,titre5,2.00E-04,5100,8157,22.12,22.12,U,13.57647778,20.83150983,0.410124964
HIV1_NL4.3_virus,GOST_1,batch_01,screen_01,rep_01,titre1,0.0033,5100,2691,2.38,2.38,U,13.57647778,20.83150983,-0.537477978
HIV1_NL4.3_virus,GOST_1,batch_01,screen_01,rep_01,titre2,0.0017,5100,2880,8.92,8.92,U,13.57647778,20.83150983,-0.223530499
HIV1_NL4.3_virus,GOST_1,batch_01,screen_01,rep_01,titre3,8.00E-04,5100,2797,31.32,31.32,U,13.57647778,20.83150983,0.85176362
HIV1_NL4.3_virus,GOST_1,batch_01,screen_01,rep_01,titre4,4.00E-04,5100,3673,34.22,34.22,U,13.57647778,20.83150983,0.990975805
HIV1_NL4.3_virus,GOST_1,batch_01,screen_01,rep_01,titre5,2.00E-04,5100,5796,26.67,26.67,U,13.57647778,20.83150983,0.628544082
HIV1_NL4.3_virus,WIBJ_2,batch_01,screen_01,rep_01,titre1,0.0033,5100,3568,0.92,0.88,U,13.57647778,20.83150983,-0.60948428
