assay,cell_line,batch,screen,replicate,titre,agent_volume_ul,cell_number_seeded,cell_number_analysed,gfp_percentage,gfp_percentage_adjusted,condition,mean_gfp,sd_gfp,z_score_gfp
HIV1_vector,VOCE_2,batch_01,screen_01,rep_01,titre2,0.0707,10000,5599,56.3,56.16,U,30.66772604,30.29019978,0.841601381
HIV1_vector,VOCE_2,batch_01,screen_01,rep_01,titre3,0.0177,10000,6886,33.9,33.76,U,30.66772604,30.29019978,0.102088266
HIV1_vector,VOCE_2,batch_01,screen_01,rep_01,titre4,0.0044,10000,7131,10.3,10.16,U,30.66772604,30.29019978,-0.677041624
HIV1_vector,VOCE_2,batch_01,screen_01,rep_01,titre5,0.0011,10000,6334,2.64,2.5,U,30.66772604,30.29019978,-0.929928698
HIV1_vector,EOJR_3,batch_01,screen_01,rep_01,titre1,0.2827,10000,4351,64,63.69,U,30.66772604,30.29019978,1.090196638
HIV1_vector,EOJR_3,batch_01,screen_01,rep_01,titre2,0.0707,10000,4110,47.2,46.89,U,30.66772604,30.29019978,0.535561801
HIV1_vector,EOJR_3,batch_01,screen_01,rep_01,titre3,0.0177,10000,5119,24.4,24.09,U,30.66772604,30.29019978,-0.217156905
HIV1_vector,EOJR_3,batch_01,screen_01,rep_01,titre4,0.0044,10000,4572,8.3,7.99,U,30.66772604,30.29019978,-0.748681957
HIV1_vector,EOJR_3,batch_01,screen_01,rep_01,titre5,0.0011,10000,4010,2.19,1.88,U,30.66772604,30.29019978,-0.950397364
HIV1_vector,KUUL_1,batch_01,screen_01,rep_01,titre1,0.2827,10000,4733,79.2,78.94,U,30.66772604,30.29019978,1.593659808
HIV1_vector,KUUL_1,batch_01,screen_01,rep_01,titre2,0.0707,10000,4763,63.7,63.44,U,30.66772604,30.29019978,1.081943143
HIV1_vector,KUUL_1,batch_01,screen_01,rep_01,titre3,0.0177,10000,3942,19.4,19.14,U,30.66772604,30.29019978,-0.380576098
HIV1_vector,KUUL_1,batch_01,screen_01,rep_01,titre4,0.0044,10000,3471,5.13,4.87,U,30.66772604,30.29019978,-0.851685569
HIV1_vector,KUUL_1,batch_01,screen_01,rep_01,titre5,0.0011,10000,3104,1.79,1.53,U,30.66772604,30.29019978,-0.961952257
HIV1_vector,GOST_1,batch_01,screen_01,rep_01,titre2,0.0707,10000,3795,73.5,72.42,U,30.66772604,30.29019978,1.378408669
HIV1_vector,GOST_1,batch_01,screen_01,rep_01,titre3,0.0177,10000,4137,30.8,29.72,U,30.66772604,30.29019978,-0.031288207
HIV1_vector,GOST_1,batch_01,screen_01,rep_01,titre4,0.0044,10000,3567,8.76,7.68,U,30.66772604,30.29019978,-0.75891629
HIV1_vector,GOST_1,batch_01,screen_01,rep_01,titre5,0.0011,10000,3044,3.59,2.51,U,30.66772604,30.29019978,-0.929598558
HIV1_vector,WIBJ_2,batch_01,screen_01,rep_01,titre1,0.2827,10000,516,58.2,57.29,U,30.66772604,30.29019978,0.878907176
HIV1_vector,WIBJ_2,batch_01,screen_01,rep_01,titre2,0.0707,10000,2958,66.7,65.79,U,30.66772604,30.29019978,1.159525992
HIV1_vector,WIBJ_2,batch_01,screen_01,rep_01,titre3,0.0177,10000,5955,44.9,43.99,U,30.66772604,30.29019978,0.439821264
HIV1_vector,WIBJ_2,batch_01,screen_01,rep_01,titre4,0.0044,10000,5315,25.6,24.69,U,30.66772604,30.29019978,-0.197348518
HIV1_vector,WIBJ_2,batch_01,screen_01,rep_01,titre5,0.0011,10000,4361,8.21,7.3,U,30.66772604,30.29019978,-0.771461602
HIV1_vector,OIKD_2,batch_01,screen_01,rep_01,titre1,0.2827,10000,3738,93,92.66,U,30.66772604,30.29019978,2.046611591
HIV1_vector,OIKD_2,batch_01,screen_01,rep_01,titre2,0.0707,10000,3568,60,59.66,U,30.66772604,30.29019978,0.957150305
HIV1_vector,OIKD_2,batch_01,screen_01,rep_01,titre3,0.0177,10000,3335,25.6,25.26,U,30.66772604,30.29019978,-0.17853055
HIV1_vector,OIKD_2,batch_01,screen_01,rep_01,titre4,0.0044,10000,3105,8.44,8.1,U,30.66772604,30.29019978,-0.745050419
HIV1_vector,OIKD_2,batch_01,screen_01,rep_01,titre5,0.0011,10000,3077,3.28,2.94,U,30.66772604,30.29019978,-0.915402547
HIV1_vector,HOIK_1,batch_01,screen_01,rep_01,titre1,0.2827,10000,4712,82.1,80.81,U,30.66772604,30.29019978,1.655395947
HIV1_vector,HOIK_1,batch_01,screen_01,rep_01,titre2,0.0707,10000,3066,37.1,35.81,U,30.66772604,30.29019978,0.169766921
HIV1_vector,HOIK_1,batch_01,screen_01,rep_01,titre3,0.0177,10000,3226,16.9,15.61,U,30.66772604,30.29019978,-0.497115442
HIV1_vector,HOIK_1,batch_01,screen_01,rep_01,titre4,0.0044,10000,3005,5.23,3.94,U,30.66772604,30.29019978,-0.882388569
HIV1_vector,HOIK_1,batch_01,screen_01,rep_01,titre5,0.0011,10000,3077,3.7,2.41,U,30.66772604,30.29019978,-0.932899956
HIV1_vector,HEGP_3,batch_01,screen_01,rep_01,titre1,0.2827,10000,1543,82,81.09,U,30.66772604,30.29019978,1.664639861
HIV1_vector,HEGP_3,batch_01,screen_01,rep_01,titre2,0.0707,10000,3399,67,66.09,U,30.66772604,30.29019978,1.169430186
HIV1_vector,HEGP_3,batch_01,screen_01,rep_01,titre3,0.0177,10000,3881,35.2,34.29,U,30.66772604,30.29019978,0.119585674
HIV1_vector,HEGP_3,batch_01,screen_01,rep_01,titre4,0.0044,10000,3594,11.2,10.29,U,30.66772604,30.29019978,-0.672749806
HIV1_vector,HEGP_3,batch_01,screen_01,rep_01,titre5,0.0011,10000,3602,5.19,4.28,U,30.66772604,30.29019978,-0.871163816
HIV1_vector,LAKO_1,batch_01,screen_01,rep_01,titre1,0.2827,10000,2868,78.5,78.3,U,30.66772604,30.29019978,1.572530861
HIV1_vector,LAKO_1,batch_01,screen_01,rep_01,titre2,0.0707,10000,3678,63.4,63.2,U,30.66772604,30.29019978,1.074019788
HIV1_vector,LAKO_1,batch_01,screen_01,rep_01,titre3,0.0177,10000,3515,35.4,35.2,U,30.66772604,30.29019978,0.149628394
HIV1_vector,LAKO_1,batch_01,screen_01,rep_01,titre4,0.0044,10000,3149,11,10.8,U,30.66772604,30.29019978,-0.655912677
HIV1_vector,LAKO_1,batch_01,screen_01,rep_01,titre5,0.0011,10000,2922,2.74,2.54,U,30.66772604,30.29019978,-0.928608139
HIV1_vector,DONS_1,batch_01,screen_01,rep_01,titre1,0.2827,10000,5153,80.6,80.42,U,30.66772604,30.29019978,1.642520496
HIV1_vector,DONS_1,batch_01,screen_01,rep_01,titre2,0.0707,10000,3493,44.6,44.42,U,30.66772604,30.29019978,0.454017275
HIV1_vector,DONS_1,batch_01,screen_01,rep_01,titre3,0.0177,10000,3368,18.1,17.92,U,30.66772604,30.29019978,-0.420853152
HIV1_vector,DONS_1,batch_01,screen_01,rep_01,titre4,0.0044,10000,3017,6.88,6.7,U,30.66772604,30.29019978,-0.791269989
HIV1_vector,DONS_1,batch_01,screen_01,rep_01,titre5,0.0011,10000,3338,1.71,1.53,U,30.66772604,30.29019978,-0.961952257
HIV1_vector,CTR_M2_O5,batch_01,screen_01,rep_01,titre1,0.2827,10000,5089,53.3,53.3,U,30.66772604,30.29019978,0.747181403
HIV1_vector,CTR_M2_O5,batch_01,screen_01,rep_01,titre2,0.0707,10000,4087,40.4,40.4,U,30.66772604,30.29019978,0.321301082
HIV1_vector,CTR_M2_O5,batch_01,screen_01,rep_01,titre3,0.0177,10000,3954,27.2,27.2,U,30.66772604,30.29019978,-0.114483432
HIV1_vector,CTR_M2_O5,batch_01,screen_01,rep_01,titre4,0.0044,10000,3815,9.52,9.52,U,30.66772604,30.29019978,-0.69817057
HIV1_vector,CTR_M2_O5,batch_01,screen_01,rep_01,titre5,0.0011,10000,3834,4.02,4.02,U,30.66772604,30.29019978,-0.879747451
HIV1_vector,293T,batch_01,screen_01,rep_01,titre1,0.2827,10000,1806,99.8,98.66,U,30.66772604,30.29019978,2.244695461
HIV1_vector,293T,batch_01,screen_01,rep_01,titre2,0.0707,10000,6939,100,98.86,U,30.66772604,30.29019978,2.251298256
HIV1_vector,293T,batch_01,screen_01,rep_01,titre3,0.0177,10000,7529,99.5,98.36,U,30.66772604,30.29019978,2.234791267
HIV1_vector,293T,batch_01,screen_01,rep_01,titre4,0.0044,10000,7922,89.1,87.96,U,30.66772604,30.29019978,1.891445892
HIV1_vector,293T,batch_01,screen_01,rep_01,titre5,0.0011,10000,7163,33.6,32.46,U,30.66772604,30.29019978,0.059170094
HIV1_vector,VOCE_2,batch_01,screen_01,rep_02,titre1,0.2827,10000,1947,81.6,80.52,U,30.66772604,30.29019978,1.645821893
